phase_id,global region,country / entity,location,type of sample drawn from,start date,end date,midpoint date,months between prior diagnosis (or symptoms) and serology,test name,citation id,number of seropositives among prior-positives,number of prior-positives,sensitivity estimate,"sensitivity, lower 95% CI",sensitivity upper 95% CI,included in sensitivity overtime tabulation,notes
--,Europe,Netherlands,{ ? },convenience (general population),--,8/15/2020,--,4,GenScript cPass neutralization kit,n-226,83,85,97.6,,,Yes,
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,4,GenScript cPass neutralization kit,n-290,114,123,92.7,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,6,GenScript cPass neutralization kit,n-290,139,162,85.8,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,8,GenScript cPass neutralization kit,n-290,90,95,94.7,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,10,GenScript cPass neutralization kit,n-290,86,89,96.6,,,,table 1
--,Oceania,New Zealand,{ Southern District Health Board region },hospitalized + non-hospitalized patients,3/11/2020,4/5/2020,--,10,GenScript cPass neutralization kit,n-198,35,37,94.6,,,Yes,
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,12,GenScript cPass neutralization kit,n-290,82,91,90.1,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,14,GenScript cPass neutralization kit,n-290,33,35,94.3,,,,table 1
--,Europe,Germany,{ Cologne },hospitalized + non-hospitalized patients,*August 2020,*September 2020,--,5,IDK (Immundiagnostik) anti-spike IgG,n-222,323,363,89.0,,,Yes,supplementary table S2
--,South Asia,India,{ Delhi },hospitalized + non-hospitalized patients,--,--,12/18/2020,2,in-house RBD ELISA (Mehdi et al.),n-162,568,672,84.5,,,"N (excluded, non-commercial assay not used in a seroprevalence study)",
--,Europe,Finland,{ 5 hospital districts },convenience (general population),--,--,*October 2020,8,in-house THL Finland FMIA anti-spike assay,n-184,360,367,98.1,,,Yes,"5 districts listed in n-181 and are:  Uusimaa [contains Helsinki], Pirkanmaa, Pohjois-Pohjanmaa [a.k.a. North Ostrobothnia], Pohjois-Savo, Varsinais-Suomi"
--,Europe,Finland,{ 5 hospital districts },convenience (general population),--,--,*May 2021,13,in-house THL Finland FMIA anti-spike assay,n-184,356,367,97.0,,,Yes,"5 districts listed in n-181 and are:  Uusimaa [contains Helsinki], Pirkanmaa, Pohjois-Pohjanmaa [a.k.a. North Ostrobothnia], Pohjois-Savo, Varsinais-Suomi"
--,Europe,Finland,{ Helsinki },convenience (general population),--,--,--,4,in-house THL Finland neutralization assay,n-183,63,64,98.4,,,Yes,
--,Europe,Finland,{ 5 hospital districts },convenience (general population),*early November 2020,December 2020,--,>6,in-house THL Finland neutralization assay,n-182,792,867,91.3,,,N,"5 districts listed in n-181 and are:  Uusimaa [contains Helsinki], Pirkanmaa, Pohjois-Pohjanmaa [a.k.a. North Ostrobothnia], Pohjois-Savo, Varsinais-Suomi"
--,Europe,Finland,{ 5 hospital districts },convenience (general population),--,--,*October 2020,8,in-house THL Finland neutralization assay,n-184,335,367,91.3,,,Yes,"5 districts listed in n-181 and are:  Uusimaa [contains Helsinki], Pirkanmaa, Pohjois-Pohjanmaa [a.k.a. North Ostrobothnia], Pohjois-Savo, Varsinais-Suomi"
--,Europe,Finland,{ 5 hospital districts },convenience (general population),--,--,*May 2021,13,in-house THL Finland neutralization assay,n-184,320,367,87.2,,,Yes,"5 districts listed in n-181 and are:  Uusimaa [contains Helsinki], Pirkanmaa, Pohjois-Pohjanmaa [a.k.a. North Ostrobothnia], Pohjois-Savo, Varsinais-Suomi"
--,East Asia,South Korea,{ ? },non-hospitalized patients,--,--,--,8,InBios SCoV-2 Detect IgG anti-spike ELISA,n-165,50,58,86.2,,,Yes,
1,Europe,Denmark,National (We test),representative,10/2/2020,10/11/2020,10/6/2020,1,Livzon COVID-19 IgG IgM lateral flow,n-105,77,216,35.6,,,Yes,supplementary figure 7
1,Europe,Denmark,National (We test),representative,10/2/2020,10/11/2020,10/6/2020,2,Livzon COVID-19 IgG IgM lateral flow,n-105,51,188,27.1,,,Yes,supplementary figure 7
1,Europe,Denmark,National (We test),representative,10/2/2020,10/11/2020,10/6/2020,4,Livzon COVID-19 IgG IgM lateral flow,n-105,9,41,22.0,,,Yes,supplementary figure 7
1,Europe,Denmark,National (We test),representative,10/2/2020,10/11/2020,10/6/2020,6,Livzon COVID-19 IgG IgM lateral flow,n-105,51,261,19.5,,,Yes,supplementary figure 7
1,Europe,Denmark,National (We test),representative,10/2/2020,10/11/2020,10/6/2020,7,Livzon COVID-19 IgG IgM lateral flow,n-105,8,41,19.5,,,Yes,supplementary figure 7
--,Europe,Scotland,{ ? },hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,1,LumiraDx SARS-CoV-2 anti-spike antibody test,n-213,52,56,92.9,,,Yes,table 2
--,Europe,Scotland,{ ? },hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,LumiraDx SARS-CoV-2 anti-spike antibody test,n-213,150,153,98.0,,,Yes,table 3
--,Europe,Scotland,{ ? },hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,4,LumiraDx SARS-CoV-2 anti-spike antibody test,n-213,42,43,97.7,,,Yes,table 3
--,Europe,Scotland,{ ? },hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,6,LumiraDx SARS-CoV-2 anti-spike antibody test,n-213,56,57,98.2,,,Yes,table 3
1,North America,USA,"Hillsborough County, unvaccinated population",representative,*October 2020,*March 2021,,>6,"New York, Mount Sinai RBD ELISA",n-178,25,26,96.2,,,N,
--,Europe,Scotland,{ ? },hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,1,Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM,n-213,30,32,93.8,,,Yes,table 2
--,Europe,Scotland,{ ? },hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,2,Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM,n-213,151,154,98.1,,,Yes,table 3
--,Europe,Scotland,{ ? },hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,4,Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM,n-213,41,44,93.2,,,Yes,table 3
--,Europe,Scotland,{ ? },hospitalized + non-hospitalized patients,*September 2020,*November 2020,--,6,Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM,n-213,65,79,82.3,,,Yes,table 3
1,Europe,Switzerland,{ Vaud },convenience (general population),5/4/2020,6/27/2020,5/31/2020,2 - 3,SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological),n-301,215,219,98.2,,,,table 1 (not yet included in seroreversion paper)
3,South Asia,India,National,representative,--,--,12/27/2020,0.5 - 2,Siemens Advia SARS-CoV-2 IgG anti-RBD,n-96,25,38,65.8,,,Yes,supplementary table (page 8)
3,South Asia,India,National,representative,--,--,12/27/2020,2 - 4,Siemens Advia SARS-CoV-2 IgG anti-RBD,n-96,60,96,62.5,,,Yes,supplementary table (page 8)
3,South Asia,India,National,representative,--,--,12/27/2020,4 - 6,Siemens Advia SARS-CoV-2 IgG anti-RBD,n-96,44,74,59.5,,,Yes,supplementary table (page 8)
3,South Asia,India,National,representative,--,--,12/27/2020,>6,Siemens Advia SARS-CoV-2 IgG anti-RBD,n-96,12,23,52.2,,,N,supplementary table (page 8)
--,North America,USA,{ ? },non-hospitalized patients,--,--,--,3,Siemens SARS-CoV-2 Total Advia Centaur,n-134,40,41,97.6,,,Yes,
--,North America,Canada,{ Toronto and Peel },hospitalized + non-hospitalized patients,--,--,--,2 - 3,Sinai Health (Toronto) anti-spike ELISA,n-169,22,22,100.0,,,Yes,figure 3
--,East Asia,Japan,{ ? },convenience (general population),9/2/2020,10/26/2020,9/29/2020,6,Tosoh anti-nucleocapsid IgG with AIA-CL1200 ,n-167,314,376,83.5,,,Yes,
--,East Asia,Japan,{ ? },convenience (general population),9/2/2020,10/26/2020,9/29/2020,6,Tosoh anti-nucleocapsid total Ig with AIA-CL1200 ,n-167,365,376,97.1,,,Yes,
--,East Asia,Japan,{ ? },convenience (general population),9/2/2020,10/26/2020,9/29/2020,6,Tosoh anti-spike IgG with AIA-CL1200 ,n-167,344,376,91.5,,,Yes,
--,East Asia,Japan,{ ? },convenience (general population),9/2/2020,10/26/2020,9/29/2020,6,Tosoh anti-spike total Ig with AIA-CL1200 ,n-167,369,376,98.1,,,Yes,
--,Latin America,Brazil,{ Pelotas },hospitalized + non-hospitalized patients,--,--,*November 2020,1,University of Rio de Janeiro (UFRJ) anti-spike ELISA,n-171,23,26,88.5,,,Yes,
--,Latin America,Brazil,{ Rio de Janeiro city },hospitalized + non-hospitalized patients,--,--,--,1,University of Rio de Janeiro (UFRJ) anti-spike ELISA,n-170,54,54,100.0,,,Yes,table 1 (not yet included in seroreversion paper)
--,Latin America,Brazil,{ Rio de Janeiro city },hospitalized + non-hospitalized patients,--,--,--,1 - 3,University of Rio de Janeiro (UFRJ) anti-spike ELISA,n-170,107,107,100.0,,,Yes,table 1
--,Latin America,Brazil,{ Pelotas },hospitalized + non-hospitalized patients,--,--,*November 2020,2,University of Rio de Janeiro (UFRJ) anti-spike ELISA,n-171,24,26,92.3,,,Yes,
--,Latin America,Brazil,{ Pelotas },hospitalized + non-hospitalized patients,--,--,*November 2020,3,University of Rio de Janeiro (UFRJ) anti-spike ELISA,n-171,23,25,92.0,,,Yes,
--,Latin America,Brazil,{ Pelotas },hospitalized + non-hospitalized patients,--,--,*November 2020,4,University of Rio de Janeiro (UFRJ) anti-spike ELISA,n-171,26,26,100.0,,,Yes,
--,Latin America,Brazil,{ Pelotas },hospitalized + non-hospitalized patients,--,--,*November 2020,5,University of Rio de Janeiro (UFRJ) anti-spike ELISA,n-171,27,31,87.1,,,Yes,
--,North America,USA,{ San Francisco },non-hospitalized patients,*April 2020,*July 2020,--,1,Vitros Ortho (not total) IgG anti-spike,n-132,--,--,91.0,86.3,95.0,Not yet,supplementary table 8
--,North America,USA,{ San Francisco },non-hospitalized patients,--,--,--,3,Vitros Ortho (not total) IgG anti-spike,n-132,--,--,84.3,78.5,89.8,Not yet,supplementary table 8
1,South Asia,Maldives,greater Male’ area,representative,10/15/2020,11/16/2020,10/31/2020,4,Vitros Ortho (not total) IgG anti-spike,n-151,77,133,57.9,,,Yes,table 1
--,North America,USA,{ San Francisco },non-hospitalized patients,--,--,--,5,Vitros Ortho (not total) IgG anti-spike,n-132,--,--,75.1,67.8,82.0,Not yet,supplementary table 8
--,North America,USA,{ San Francisco },non-hospitalized patients,--,--,--,7,Vitros Ortho (not total) IgG anti-spike,n-132,--,--,63.5,54.4,72.4,Not yet,supplementary table 8
--,North America,USA,{ San Francisco },non-hospitalized patients,*April 2020,*July 2020,--,1,Vitros Ortho total Ig anti-spike,n-132,--,--,68.5,60,76.5,Not yet,supplementary table 8
--,North America,USA,{ San Francisco },non-hospitalized patients,--,--,--,3,Vitros Ortho total Ig anti-spike,n-132,--,--,83.9,77.5,89.2,Not yet,supplementary table 8
--,North America,USA,{ San Francisco },non-hospitalized patients,--,--,--,5,Vitros Ortho total Ig anti-spike,n-132,--,--,93.4,88.6,96.7,Not yet,supplementary table 8
--,North America,USA,{ San Francisco },non-hospitalized patients,--,--,--,7,Vitros Ortho total Ig anti-spike,n-132,--,--,97.8,94.7,99.3,Not yet,supplementary table 8
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,1,Vitros Ortho total Ig anti-spike,n-290,33,39,84.6,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,2,Vitros Ortho total Ig anti-spike,n-290,180,194,92.8,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,4,Vitros Ortho total Ig anti-spike,n-290,118,123,95.9,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,6,Vitros Ortho total Ig anti-spike,n-290,158,162,97.5,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,8,Vitros Ortho total Ig anti-spike,n-290,90,95,94.7,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,10,Vitros Ortho total Ig anti-spike,n-290,86,89,96.6,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,12,Vitros Ortho total Ig anti-spike,n-290,88,91,96.7,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,14,Vitros Ortho total Ig anti-spike,n-290,35,35,100.0,,,,table 1
1,Europe,Italy,Caldari Ortona (Villa Caldari),representative,4/18/2020,4/19/2020,4/18/2020,1,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-107,7,7,,,,Yes,
1 - 4,Europe,Denmark,National (SSI) + 30 municipalities subset,representative,5/18/2020,12/16/2020,9/1/2020,2,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-22,217,232,93.5,,,Yes,page 719
1,Europe,Iceland,{ National },convenience (general population),4/3/2020,7/8/2020,5/21/2020,3,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-157,1143,1215,94.1,,,Yes,"tables S1 and S4, page 8 of appendix 1"
5,Europe,Denmark,"National (SSI), unvaccinated population",representative,2/27/2021,4/20/2021,*3/17/2021,4,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-194,484,514,94.2,,,Yes,page 4
6,Europe,Denmark,"National (SSI), unvaccinated population",representative,5/14/2021,7/11/2021,*6/10/2021,5,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-195,282,310,91.0,,,Yes,page 4
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,1,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-290,36,39,92.3,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,2,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-290,190,194,97.9,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,4,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-290,123,123,100.0,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,6,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-290,160,162,98.8,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,8,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-290,95,95,100.0,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,10,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-290,88,89,98.9,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,12,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-290,91,91,100.0,,,,table 1
--,Europe,Germany,--,hospitalized + non-hospitalized patients,--,--,*2020,14,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",n-290,35,35,100.0,,,,table 1
