seroreversion accounted for,test_id,source  (F=FDA testing/M=manufacturer [sometimes through FDA]/O = other),citation,test_name,sensitivity_estimate,sen_lower95CI,sen_upper95CI,number of COVID+ testing seropositive for sensitivity (TP),total number of COVID+ tested for sensitivity (TP + FN),specificity_estimate,spec_lower95CI,spec_upper95CI,number of COVID- testing seronegative for specificity (TN),total number of COVID- tested for specificity (TN + FP),notes
N/A (baseline),8-F,F,"https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance  ,  https://www.fda.gov/media/140929/download","Wantai ELISA, SARS-CoV-2 total antibody, IgG IgM (against RBD)",96.7,,,29,30,97.5,,,78,80,
N/A (baseline),8-O,O,https://www.fda.gov/media/140929/download,"Wantai ELISA, SARS-CoV-2 total antibody, IgG IgM (against RBD)",98.7,93.1,99.8,77,78,98.6,,,494,501,
N/A (baseline),103-M,M,http://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-Rapid-Test.pdf,"Wantai rapid test, SARS-CoV-2 total antibody, IgG IgM (against RBD)",94.7,,,125,132,98.9,,,268,271,
N/A (baseline),103-F,F,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Wantai rapid test, SARS-CoV-2 total antibody, IgG IgM (against RBD)",100,88.7,100,30,30,98.8,93.3,99.8,79,80,
N/A (baseline),104-M,M,"n-29 , n-297",YHLO iFlash SARS CoV-2 (spike + nucleocapsid),97.3,,,,,96.3,,,,,
N/A (baseline),104-O,O,https://www.ijidonline.com/article/S1201-9712(20)30198-3/fulltext,YHLO iFlash SARS CoV-2 (spike + nucleocapsid),88.9,,,24,27,90.9,,,30,33,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Yes,100,,n-14,"REACT-2, phase 1: Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)",81.2,,,277,341,98.6,97.1,99.4,493,500,
Yes,101,,"n-102 , n-14","REACT-2, phase 2: Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)",76.1,,,274,360,98.6,97.1,99.4,493,500,
Yes,102,,"n-102 , n-14","REACT-2, phase 3: Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)",63.2,,,474,750,98.6,97.1,99.4,493,500,
Yes,103,,"n-15 , n-14","REACT-2, phase 4: Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)",62.0,,,1094,1765,98.6,97.1,99.4,493,500,
Not yet,104,,n-14,"REACT-2, phase 5: Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)",,,,,,98.6,97.1,99.4,493,500,
Not yet,105,,n-14,"REACT-2, phase 6: Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)",,,,,,98.6,97.1,99.4,493,500,
Not yet,200,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","BioBank, phase 1: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,201,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","BioBank, phase 2: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,202,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","BioBank, phase 3: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,203,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 1: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,204,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 2: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,205,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 3: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,206,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 4: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,207,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 5: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,208,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 6: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,209,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 7: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,210,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 8: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,211,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 9: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,212,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 10: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,213,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 11: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,214,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 1: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,215,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 2: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,216,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 3: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,217,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 4: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,218,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 5: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,219,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 6: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,220,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 7: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,221,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 8: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,222,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 9: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,223,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 1: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,224,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 2: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,225,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 3: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,226,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 4: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,227,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 5: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,228,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 6: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,229,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 7: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,230,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 8: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,231,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 1: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,232,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 2: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,233,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 3: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,234,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 4: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,235,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 5: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,236,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 6: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,237,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 7: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,238,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 8: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,239,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 10: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,240,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 12: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,241,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 13: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,242,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 9: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,243,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 10: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,244,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 9: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,245,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 10: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,246,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","BioBank, phase 4: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,247,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","BioBank, phase 5: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,248,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 11: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,249,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 12: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,250,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 13: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,251,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 14: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,252,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 15: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,253,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Wales, phase 16: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,254,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 11: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,255,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 12: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,256,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Scotland, phase 13: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,257,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 11: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,258,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 12: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,259,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 13: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,260,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 14: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,261,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS Northern Ireland, phase 15: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,262,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 14: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,263,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 15: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,264,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 16: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,265,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 17: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,266,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 18: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,267,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 19: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,268,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 20: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Not yet,269,,"n-117 (page 15) , https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext","ONS England, phase 21: University of Oxford, IgG for spike",,,,,,99.0,98.0,100.0,967,977,
Yes,300,,n-44,"Spain, phase 1: Orient Gene Biotech COVID-19 IgG/IgM Rapid Test",88.7,,,189,213,99.0,,,102,103,
Yes,301,,"n-104 , n-44","Spain, phase 2: Orient Gene Biotech COVID-19 IgG/IgM Rapid Test",76.7,,,276,360,99.0,,,102,103,
Yes,302,,"n-104 , n-44","Spain, phase 3: Orient Gene Biotech COVID-19 IgG/IgM Rapid Test",74.1,,,341,460,99.0,,,102,103,
Yes,303,,"n-45 , n-44","Spain, phase 4: Orient Gene Biotech COVID-19 IgG/IgM Rapid Test",64.0,,,1137,1777,99.0,,,102,103,
Not yet,400,,"n-53 , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Castiglione D'Adda: Abbott Architect IgG,,,,,,99.6,99.0,99.9,1066,1070,
Yes,401,,"n-10 , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance","Utah, 4 counties, phase 1: Abbott Architect IgG",83.3,,,25,30,99.6,99.0,99.9,1066,1070,
Not yet,402,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Verona: Abbott Architect IgG,,,,,,99.6,99.0,99.9,1066,1070,
Not yet,403,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Indiana, phase 1: Abbott Architect IgG",,,,,,99.6,99.0,99.9,1066,1070,
Not yet,404,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Ascension, East Baton Rouge, Livingston, + West Baton Rouge Parishes: Abbott Architect IgG",,,,,,99.6,99.0,99.9,1066,1070,
Not yet,405,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Jefferson and Orleans parishes: Abbott Architect IgG,,,,,,99.6,99.0,99.9,1066,1070,
Not yet,406,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Rhode Island: Abbott Architect IgG,,,,,,99.6,99.0,99.9,1066,1070,
Not yet,407,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Italy: Abbott Architect IgG,,,,,,99.6,99.0,99.9,1066,1070,
Not yet,408,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Trento (5 municipalities): Abbott Architect IgG,,,,,,99.6,99.0,99.9,1066,1070,
Not yet,409,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Val Gardena (Ortisei, Santa Cristina, Selva): Abbott Architect IgG",,,,,,99.6,99.0,99.9,1066,1070,
Not yet,410,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,South Tyrol (excluding Val Gardena): Abbott Architect IgG,,,,,,99.6,99.0,99.9,1066,1070,
Not yet,411,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Wisconsin, phase 1: Abbott Architect IgG",,,,,,99.6,99.0,99.9,1066,1070,
Not yet,412,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Wisconsin, phase 2: Abbott Architect IgG",,,,,,99.6,99.0,99.9,1066,1070,
Not yet,413,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Wisconsin, phase 3: Abbott Architect IgG",,,,,,99.6,99.0,99.9,1066,1070,
Not yet,414,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Indiana, phase 2: Abbott Architect IgG",,,,,,99.6,99.0,99.9,1066,1070,
Not yet,415,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Nevada, Washoe County: Abbott Architect IgG",,,,,,99.6,99.0,99.9,1066,1070,
Not yet,416,,"n-10 , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Cache County: Abbott Architect IgG,,,,,,99.6,99.0,99.9,1066,1070,
Not yet,417,,"n-10 , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Washington County: Abbott Architect IgG,,,,,,99.6,99.0,99.9,1066,1070,
Not yet,418,,"n-10 , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Weber County: Abbott Architect IgG,,,,,,99.6,99.0,99.9,1066,1070,
Yes,500,,"n-29 , https://link.springer.com/article/10.1007%2Fs15010-020-01503-7","Tirschenreuth district, analysis of: in-house RBD ELISA + Elecsys Anti-SARS-CoV-2 Roche nucleocapsid  +  YHLO iFlash SARS CoV-2 (spike + nucleocapsid)  ",93.9,,,62,66,99.3,,,993,1000,
Yes,600,,"n-31 , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance","Grand Est, Île-de-France, Nouvelle-Aquitaine; phase 1: Euroimmun anti-spike",87.2,,,68,78,100,95.4,100,80,80,
Yes,601,,"n-26 (page 20) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Aachen (phase 1): Euroimmun anti-spike,64.3,,,9,14,100,95.4,100,80,80,
Yes,602,,"n-26 (page 20) , n-173 (eSupplement-Table 3) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance","Aachen, unvaccinated (phase 2): Euroimmun anti-spike",87.1,,,61,70,100,95.4,100,80,80,
Yes,603,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Germany, national (SOEP): Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
Not yet,604,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Geneva, phase 1: Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
Not yet,605,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Geneva, phase 2: Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
Yes,606,,"n-149 , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance","France, phase 1: Euroimmun anti-spike",89.2,,,74,83,100,95.4,100,80,80,
Not yet,607,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"France, phase 2: Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
Not yet,608,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Norway: Euroimmun anti-spike,,,,,,100,95.4,100,80,80,
Not yet,609,,"n-31 , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance","Grand Est, Île-de-France, Nouvelle-Aquitaine; phase 2: Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
Not yet,610,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Osnabrück district, phase 2: Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
Not yet,611,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Magdeburg, phase 2: : Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
Not yet,612,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Vorpommern-Greifswald, phase 1: Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
Not yet,613,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Chemnitz, phase 1: Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
Not yet,614,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Chemnitz, phase 2: Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
Not yet,615,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Salt Lake County, phase 4: Euroimmun anti-spike",,,,,,100,95.4,100,80,80,
