authors / representative study location,initial source,inclusion / exclusion,reason for exclusion,duplicate,study also found in search from representative samples (see column B),citations,,"Medrxiv, term 1","Medrxiv, term 2","PubMed, term 1","PubMed, term 2","Biorxiv, term 1","Biorxiv, term 2"
Assefa et al.,Medrxiv,excluded,special population (women seeking antenatal care),,,https://www.medrxiv.org/content/10.1101/2021.06.17.21257323v1.full-text,https://bmjopen.bmj.com/content/11/11/e055834.long,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Chatterjee et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.06.15.21258935v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Psichogiou et al.,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2021.06.15.21258669v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Cohen et al. #1,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.04.19.21255739v2.full-text,https://www.cell.com/cell-reports-medicine/fulltext/S2666-3791(21)00203-2,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Shan et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (saliva-based LFA),,,https://www.medrxiv.org/content/10.1101/2021.06.11.21258769v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Köppert et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.06.02.21258073v2.full-text,https://www.mdpi.com/2073-4409/10/8/1843,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Srivastava et al.,Medrxiv,excluded,special population (plasma donors),,,https://www.medrxiv.org/content/10.1101/2021.06.09.21258232v1.full,https://journals.asm.org/doi/10.1128/Spectrum.00830-21,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Miller et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.12.01.20241836v2.full,https://royalsocietypublishing.org/doi/10.1098/rsos.211021,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Pritchard et al.,Medrxiv,excluded,post-vaccine,,,https://www.medrxiv.org/content/10.1101/2021.04.22.21255913v2.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Soeorg et al.,Medrxiv,excluded,no seroreversion data (no seropositivity rate in figure 4a),,,https://www.medrxiv.org/content/10.1101/2021.06.06.21258406v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Lyski et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.05.28.21258025v1.full-text,https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiab585/6447629,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Scurr et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.06.02.21258218v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Caniels et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.05.26.21257441v1.full-text,https://www.science.org/doi/10.1126/sciadv.abj5365,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Waterlow et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.05.27.21257032v1.full-text,https://www.pnas.org/content/118/49/e2108395118,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
"Jouberton and Agincourt locations, early phases: Kleynhans et al.",Medrxiv (also search from representative samples),excluded,no non-serologic initial diagnosis,Yes,Yes,https://www.medrxiv.org/content/10.1101/2021.05.26.21257849v1.full-text,https://wwwnc.cdc.gov/eid/article/27/12/21-1465_article,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Yau et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.05.24.21257425v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ontañón et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.05.25.21257788v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Naaber et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.04.19.21255714v2.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Gutiérrez-Castrellón et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.05.20.21256954v1.full,https://www.tandfonline.com/doi/full/10.1080/19490976.2021.2018899,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Winklmeier et al.,Medrxiv,excluded,"no seroreversion data, special population (healthcare workers subset)",,,https://www.medrxiv.org/content/10.1101/2021.05.15.21257210v1.full-text,https://www.cell.com/iscience/fulltext/S2589-0042(21)01629-1,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Saeed et al. #1,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2021.05.13.21257177v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Gallais et al.,Medrxiv,excluded,"special population (healthcare workers), post-vaccine seroreversion",,,https://www.medrxiv.org/content/10.1101/2021.05.07.21256823v3.full-text,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00354-6/fulltext,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Parry et al.,Medrxiv,excluded,post-vaccine,,,https://www.medrxiv.org/content/10.1101/2021.05.15.21257017v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Knabl et al.,Medrxiv,excluded,"post-vaccine, special population (elderly patients)",,,https://www.medrxiv.org/content/10.1101/2021.05.11.21256862v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Vaquero et al.,Medrxiv,excluded,post-vaccine,,,https://www.medrxiv.org/content/10.1101/2021.05.07.21256821v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
"Germany, 7 counties location (including Aachen, etc.): Gornyk et al.",Medrxiv (also search from representative samples),included,-,Yes,Yes,"https://www.medrxiv.org/content/10.1101/2021.05.04.21256597v2.full-text  ,  https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3834300  [n-26]",https://www.aerzteblatt.de/int/archive/article/221933  [n-173],,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Saeed et al. #2,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2021.05.11.21256992v1.full-text,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257743,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Mishra et al. #1,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.04.11.21255153v2.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Walti et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.05.10.21256634v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Byrum et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (multiSero),,,https://www.medrxiv.org/content/10.1101/2021.05.07.21249238v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Fulford et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (COVID-19 NAb-test),,,https://www.medrxiv.org/content/10.1101/2021.04.12.21255368v2.full-text,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00523-5/fulltext,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Aliee et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.05.05.21256666v1.full-text,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009367,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Finch et al.,Medrxiv,excluded,special population (workplace sample),,,https://www.medrxiv.org/content/10.1101/2021.05.04.21256609v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Kennedy-Shaffer et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.05.03.21256556v1.full-text,https://journals.lww.com/epidem/Fulltext/2021/11000/Estimating_Vaccine_Efficacy_Against_Transmission.8.aspx,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Chen et al. #2,Medrxiv,excluded,no seroreversion data (assay-specific),,,https://www.medrxiv.org/content/10.1101/2021.05.03.21256506v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Zhou et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (Mike i1000),,,https://www.medrxiv.org/content/10.1101/2021.05.04.21256355v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Stone et al. #2,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2021.05.01.21255576v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ma et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.01.15.21249881v2.full-text,https://elifesciences.org/articles/66601,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Campos-Mata et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.04.29.21256002v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Toubat et al.,Medrxiv,excluded,special population (firefighters),,,https://www.medrxiv.org/content/10.1101/2021.04.20.21255829v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Wei et al.,Medrxiv,excluded,post-vaccine seroreversion,,,https://www.medrxiv.org/content/10.1101/2021.04.22.21255911v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Trento (5 municipalities) location: Manica et al.,Medrxiv,excluded,no seroreversion data,Yes,Yes,https://www.medrxiv.org/content/10.1101/2021.04.14.21255502v1.full,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab556/6301134,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Choudhary et al. #1,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.03.02.21252750v2.full,https://academic.oup.com/cid/article/74/2/237/6255966?login=false,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Scherlinger et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.04.08.21255167v1.full-text,https://link.springer.com/article/10.1007/s40121-021-00484-w,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Rane et al.,Medrxiv,excluded,no seroreversion data (assay-specific),,,https://www.medrxiv.org/content/10.1101/2021.04.06.21255009v3.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Glampson et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.04.08.21254580v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Verissimo et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.04.07.21255024v1.full-text,https://www.cambridge.org/core/journals/epidemiology-and-infection/article/improved-diagnosis-of-sarscov2-by-using-nucleoprotein-and-spike-protein-fragment-2-in-quantitative-dual-elisa-tests/728A54ABFEBAAA4605F3E37A48E22FA5,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Dopico et al.,Medrxiv,excluded,"special population (blood donors, pregnant women)",,,https://www.medrxiv.org/content/10.1101/2020.12.24.20248821v2.full-text,https://onlinelibrary.wiley.com/doi/10.1111/joim.13304,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Davis et al. #2,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.12.24.20248802v3.full-text,https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00299-6/fulltext,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Loyal et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.04.01.21252379v1.full-text,https://www.science.org/doi/10.1126/science.abh1823,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Klein et al.,Medrxiv,excluded,special population (transplant recipient),,,https://www.medrxiv.org/content/10.1101/2021.03.24.21253992v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Di Germanio et al.,Medrxiv,excluded,special population (blood donors),Yes,,https://www.medrxiv.org/content/10.1101/2021.03.24.21254260v1.full-text,https://onlinelibrary.wiley.com/doi/10.1111/trf.16555,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,"PubMed: ""COVID-19 longitudinal, antibody waning""",,
Mohanraj et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.03.19.21253518v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Padmanabhan et al.,Medrxiv,excluded,"no seroreversion data, post-vaccine",,,https://www.medrxiv.org/content/10.1101/2021.03.16.21253742v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Val Gardena + associated regions: Melotti et al.,Medrxiv,excluded,no seroreversion data,Yes,Yes,https://www.medrxiv.org/content/10.1101/2021.03.19.21253883v1.full-text,https://www.cambridge.org/core/journals/epidemiology-and-infection/article/prevalence-and-determinants-of-serum-antibodies-to-sarscov2-in-the-general-population-of-the-gardena-valley/43FAD8F3CD0983D4427D3A10D1AC8063,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Eberhardt et al.,Medrxiv,included,-,Yes (Fei et al.),,https://www.medrxiv.org/content/10.1101/2021.03.10.21253288v1.full,https://www.mdpi.com/2076-2607/9/4/733,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Monin-Aldama et al.,Medrxiv,excluded,post-vaccine,,,https://www.medrxiv.org/content/10.1101/2021.03.17.21253131v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Jagtap et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.10.13.20182949v2.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Alkharaan et al.,Medrxiv,included,-,,,https://www.medrxiv.org/content/10.1101/2021.03.13.21253492v1.full,https://academic.oup.com/jid/article/224/3/407/6274637,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Etyang et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.03.12.21253493v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Huynh et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.09.11.20192690v2.full,https://www.mdpi.com/1999-4915/13/4/697/htm,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Jung et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.03.04.21252658v2.full-text,https://www.nature.com/articles/s41467-021-24377-1,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Krutikov et al. #2,Medrxiv,excluded,special population (nursing home residents and healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.03.08.21253110v1.full-text,https://www.thelancet.com/journals/lanhl/article/PIIS2666-7568(21)00093-3/fulltext,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Anand et al. #1,Medrxiv,excluded,special population (dialysis patients),,,https://www.medrxiv.org/content/10.1101/2021.03.07.21252786v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Deng et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.03.07.21252647v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Barrio Padre Mugica location: Pagotto et al.,Medrxiv (also search from representative samples),excluded,no non-serologic initial diagnosis,Yes,Yes,https://www.medrxiv.org/content/10.1101/2021.03.05.21253010v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Pelleau et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.03.04.21252532v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Goel et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.03.03.21252872v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Davies et al. #2,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.12.24.20248822v3.full-text,https://www.science.org/doi/10.1126/science.abg3055,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Faria et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.02.26.21252554v1.full-text,https://www.science.org/doi/10.1126/science.abh2644,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Qiu et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.03.01.21252411v1.full-text,https://jlb.onlinelibrary.wiley.com/doi/10.1002/JLB.5MA0721-825R,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Truong et al.,Medrxiv,excluded,special population (young leukemia patients),,,https://www.medrxiv.org/content/10.1101/2021.02.27.21252099v1.full-text,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00148-1/fulltext,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Gonzalez-Parra et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.02.24.21252406v1.full-text,https://www.mdpi.com/2297-8747/26/2/25/htm,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Shields et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.02.24.21252368v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Dehgani-Mobaraki et al. #1,Medrxiv,excluded,special population (largely healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.02.22.21252225v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Martínez-Rodríguez et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.02.19.21252095v1.full-text,https://www.mdpi.com/2673-3986/2/2/12/htm,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Feng et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.02.17.21251867v2.full-text,https://pubs.acs.org/doi/10.1021/acsestwater.1c00160,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Dispinseri et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (luciferase immune precipitation assay),,,https://www.medrxiv.org/content/10.1101/2021.02.17.21251929v1.full-text,https://www.nature.com/articles/s41467-021-22958-8,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Narasimhan et al.,Medrxiv,excluded,special population (hospitalized inpatients),,,https://www.medrxiv.org/content/10.1101/2021.02.17.21251940v1.full-text,https://journals.asm.org/doi/10.1128/JCM.00388-21,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Martin et al.,Medrxiv,excluded,"post-vaccine, special population (healthcare workers)",,,https://www.medrxiv.org/content/10.1101/2021.02.11.21251548v3.full,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003823,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Malosh et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.02.16.21251827v1.full,https://academic.oup.com/cid/article/73/7/1248/6265275?login=false,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Hay et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.10.08.20204222v2.full,https://www.science.org/doi/10.1126/science.abh0635,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Laing et al. #2,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.02.10.21251518v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Adetifa et al. ,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2021.02.09.21251404v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Luo et al. #1,Medrxiv,excluded,no seroreversion data (quantification needed for commercial antibody),,,https://www.medrxiv.org/content/10.1101/2021.01.19.21250137v3.full,https://journals.asm.org/doi/10.1128/JCM.00193-21,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Davis et al. #3,Medrxiv,excluded,special population (graduate students and staff),,,https://www.medrxiv.org/content/10.1101/2020.12.07.20245183v2.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Guimarães,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.02.06.21251251v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Follmann + Fay,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.02.04.21251133v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Tang et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.02.03.21250928v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Crellen et al.,Medrxiv,excluded,no seroreversion data,Yes,,https://www.medrxiv.org/content/10.1101/2020.07.24.20157982v2.full,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0274,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,"PubMed: ""COVID-19 longitudinal, antibody waning""",,
Markmann et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2021.02.01.21250493v1.full,https://journals.asm.org/doi/10.1128/mSphere.00275-21,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Leister et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.02.01.21250898v1.full,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06586-7,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Longueira et al.,Medrxiv,included,-,,,https://www.medrxiv.org/content/10.1101/2021.01.31.21250167v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Wang et al. #1,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.12.10.20247205v5.full-text,https://www.nature.com/articles/s41586-021-03631-y,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Lewis et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.01.25.21250189v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Tan et al. #1,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2021.01.24.21250074v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Mallon et al.,Medrxiv,included,-,,,https://www.medrxiv.org/content/10.1101/2021.01.24.20248381v1.full,https://academic.oup.com/ofid/article/8/8/ofab122/6188617,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Clarke et al.,Medrxiv,excluded,special population (dialysis patients),,,https://www.medrxiv.org/content/10.1101/2021.01.22.21249865v1.full-text,https://www.kidney-international.org/article/S0085-2538(21)00295-7/fulltext,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Nicholson et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.01.21.21250249v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Lewnard et al. #1,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.01.21.21250258v1.full-text,https://journals.lww.com/epidem/Abstract/2021/07000/Theoretical_Framework_for_Retrospective_Studies_of.7.aspx,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Zuñiga et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.01.16.21249956v1.full,https://journals.sagepub.com/doi/10.1177/17534666211028077,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Cleary et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.05.01.20086801v3.full-text,https://www.science.org/doi/10.1126/scitranslmed.abf1568,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Stephenson et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.01.13.21249725v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Moncla et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.10.19.20215442v2.full-text,https://elifesciences.org/articles/66448,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Dalai et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.01.06.21249345v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Steenhius et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2021.01.06.20249035v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Perkins et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.01.06.21249311v1.full-text,https://www.science.org/doi/10.1126/sciadv.abg5033,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Hachim et al. #1,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (luciferase immune precipitation assay),,,https://www.medrxiv.org/content/10.1101/2021.01.03.21249180v2.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Robertson et al,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.04.28.20080630v2.full-text,https://bmjopen.bmj.com/content/11/9/e048778.long,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Trombetta et al.,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2021.01.02.20248998v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Friston et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.01.03.20248972v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Lewnard et al. #2,Medrxiv,excluded,special population (farmworkers),,,https://www.medrxiv.org/content/10.1101/2020.12.27.20248894v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
