citation_id,description,citation
n-211,"Sweden, Norrbotten County, report",https://web.archive.org/web/20200623071108/http://norrbotten.se/sv/Halsa-och-sjukvard/Smittskydd-i-Norrbotten/Information-om-nya-coronaviruset/The-seroprevalence-of-covid-19-antibodies-in-Norrbotten-County-Sweden/
n-212,email from REACT-2 authors on phase 6,https://drive.google.com/drive/folders/1RHgj5M-Zlqum7Ha9zU0HopM6z5GJ-2Rz
n-213,"McCance et al., seroreversion",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0266086
n-214,"Netherlands, phase 3, email from study authors",https://drive.google.com/drive/folders/1YJ2uFuuF-hQ99amG4HlsnWsbLUTZzirH
n-215,"Tea et al., seroreversion",https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003656
n-216,"Renk et al., seroreversion by age (figure S6 and table 1)",https://www.medrxiv.org/content/10.1101/2021.07.20.21260863v1.full-text
n-217,"Vo': Gittelman et al, seroreversion",https://www.medrxiv.org/content/10.1101/2020.11.09.20228023v2.full
n-218,"Snyder et al., seroreversion",https://www.medrxiv.org/content/10.1101/2020.07.31.20165647v3.full-text
n-219,"Srivastava et al., seroreversion",https://journals.asm.org/doi/10.1128/Spectrum.00830-21
n-220,"Italy, Trento (5 municipalities), re-infection risk, pre-print",https://www.medrxiv.org/content/10.1101/2021.04.14.21255502v1.full-text
n-221,"Italy, Trento (5 municipalities), re-infection risk, published study",https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab556/6301134
n-222,"Eberhardt et al., seroreversion",https://www.mdpi.com/2076-2607/9/4/733/htm
n-223,"Alkharaan et al., seroreversion",https://academic.oup.com/jid/article/224/3/407/6274637
n-224,"Longueira et al., seroreversion",https://www.medrxiv.org/content/10.1101/2021.01.31.21250167v1.full
n-225,"Mallon et al., seroreversion",https://academic.oup.com/ofid/article/8/8/ofab122/6188617
n-226,"Garritsen et al., seroreversion",https://www.tandfonline.com/doi/full/10.1080/23744235.2021.1893378
n-227,"Ojeda et al., seroreversion",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1009161
n-228,"Arizona: Maricopa County, published study",https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2021.306568
n-229,"Nevada: Washoe County, press release",https://www.washoecounty.gov/outreach/2020/07/2020-07-08-jic-update-0708.php
n-230,"Nevada: Washoe County, assay",https://www.silversummithealthplan.com/content/dam/centene/Nevada/Medicaid/PDFs/COVID-19%20Testing%20Strategy.pdf
n-231,"Ohio, published study",https://www.pnas.org/content/118/26/e2023947118
n-232,"Slovenia, published study",https://www.sciencedirect.com/science/article/pii/S1198743X21001440
n-233,"Slovenia, report",http://file.biolab.si/files/2020-12-11-covid-19-slovenija-porocilo-koncno.pdf
n-234,"Germany: Straubing, report",https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Straubing.html
n-235,"Germany RKI study protocol (Straubing, Kupferzell, Mitte)",https://www.rki.de/EN/Content/Health_Monitoring/Health_Reporting/GBEDownloadsJ/JoHM_S5_2020_Study_protocol_CORONA_MONITORING_lokal.pdf?__blob=publicationFile
n-236,"Germany: Mitte (in Berlin), report",https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Berlin-Mitte.html
n-237,"Czech Republic, 6 cities, seroprevalence",https://web.archive.org/web/20201104174250/https://covid-imunita.uzis.cz/res/file/prezentace/20200506-dusek.pdf
n-238,"Czech Republic, 6 cities, study dates",https://web.archive.org/web/20200629230433/https://covid-imunita.uzis.cz/index.php?pg=o-studii
n-239,"South Korea (national), phases 1 - 4",https://www.e-epih.org/journal/view.php?doi=10.4178/epih.e2022028
n-240,"Bond et al., seroreversion",https://www.pathologyjournal.rcpa.edu.au/article/S0031-3025(21)00417-7/fulltext
n-241,"Soriano et al., seroreversion",https://www.ijidonline.com/article/S1201-9712(21)00201-0/fulltext
n-242,"Wu et al., seroreversion",https://www.frontiersin.org/articles/10.3389/fimmu.2021.722027/full
n-243,"Vanshylla et al., seroreversion",https://www.biorxiv.org/content/10.1101/2021.01.26.428207v1.full
n-244,"Japan: Aichi, phase 1, sampling date",https://www.pref.aichi.jp/site/covid19-aichi/koutaikekka.html
n-245,"Japan: Fukuoka, phase 1, sampling date",https://www.pref.fukuoka.lg.jp/press-release/press-release-corona-koutai.html
n-246,"Japan: seroprevalence and sampling date, phase 2 of Aichi + Fukuoka, phase 3 of Tokyo + Miyagi + Osaka",https://www.mhlw.go.jp/content/10900000/000898612.pdf
n-247,"Japan: phases 1 - 3, methodology, Aichi + Fukuoka + Tokyo + Miyagi + Osaka",https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/kensa/houhou.html
n-248,"Argentina: Puerto Madryn, seroprevalence",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263679
n-249,"Belgium: Brussels, Flanders, and Wallonia; seroprevalence",https://www.sciensano.be/sites/default/files/salivahis_report_final20211206_1.pdf
n-250,"Belgium: Brussels, Flanders, and Wallonia, methodology + assay date",https://osf.io/9ues4/
n-251,"Los Angeles County, phase 1",https://jamanetwork.com/journals/jama/fullarticle/2766367
n-252,"Verona, published study",https://wwwnc.cdc.gov/eid/article/27/1/20-2740_article
n-253,"USA, California: 7 counties",https://www.medrxiv.org/content/10.1101/2021.12.09.21267565v1.full-text
n-254,"Japan: Yokohama City, pre-print",https://www.medrxiv.org/content/10.1101/2022.03.26.22272766v1.full
n-255,"Bergeri et al., WHO seroprevalence studies",https://www.medrxiv.org/content/10.1101/2021.12.14.21267791v2.full-text
n-256,"USA, national, COVIDVu pre-print, phase 2",https://www.medrxiv.org/content/10.1101/2021.09.22.21263904v2
n-257,"Norway: national, email from study authors",https://drive.google.com/drive/folders/1U9xMJJ14jXKOkkPX5cvVDlOnmjbV-K0C
n-258,"Switzerland, Geneva, phase 1, IFR calculation",https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30584-3/fulltext
n-259,Lebanon: national; assay used (Techno Genetics anti-RBD),https://validahealth.dk/wp-content/uploads/2020/09/valida-health-antibody-test-details-sheet.pdf
n-260,"USA, Wisconsin; email from study authors",https://drive.google.com/drive/folders/1UDtgyx6cEVL5bs9aVNRQhkVrPwT6CMzI
n-261,"Canada, CCAHS study, report (results)",https://www150.statcan.gc.ca/n1/pub/82-003-x/2022004/article/00003-eng.htm
n-262,"Canada, CCAHS study, email from study authors",https://drive.google.com/drive/folders/1Rs5Eqo17WE9L7z1BNzimzqLzUSLo7jkL
n-263,"Canada, CCAHS study, methodology",https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&Id=1287991
n-264,"Canada, CCAHS study, assay information (Colwill et al.)",https://onlinelibrary.wiley.com/doi/10.1002/cti2.1380
n-265,"Russia: Chelyabinsk and Sverdlovsk regions, published study",https://www.epidemvac.ru/jour/article/view/1283
n-266,"Russia: Irkutsk region, published study",https://journal.microbe.ru/jour/article/view/1370/1149
n-267,"Russia: Kaliningrad region, published study",https://journal.niidi.ru/jofin/article/view/1145
n-268,"Russia: Khabarovsk Krai region, published study",https://microbiol.elpub.ru/jour/article/view/983?locale=ru_RU#tab1
n-269,"Russia: Krasnoyarsk region, published study",https://www.actabiomedica.ru/jour/article/view/2872/2184
n-270,"Russia: Leningrad region (excluding St. Petersburg), published study",https://journal.microbe.ru/jour/article/view/1371/1150
n-271,"Russia: Murmansk region, published study",https://hiv.bmoc-spb.ru/jour/article/view/605#
n-272,"Russia: Moscow, published study",https://www.phdynasty.ru/en/catalog/magazines/infectious-diseases/2020/volume-18-issue-4/40419
n-273,"Russia: Novosibirsk region, published study",https://virusjour.elpub.ru/jour/article/view/539
n-274,"Russia: St. Petersburg (from Rospotrebnadzor), published study",https://journal.microbe.ru/jour/article/view/1372/1151#
n-275,"Russia: Saratov region, published study",https://journal.microbe.ru/jour/article/view/1413?locale=en_US
n-276,"Russia: Stavropol Krai, published study",https://journal.niidi.ru/jofin/article/view/1273
n-277,"Russia: Tatarstan, published study",https://microbiol.elpub.ru/jour/article/view/940?locale=en_US
n-278,"Russia: Tyumen region, published study",https://microbiol.elpub.ru/jour/article/view/890?locale=en_US#
n-279,"Japan: seroprevalence and sampling date, phase 3 of Aichi + Fukuoka, phase 4 of Tokyo + Miyagi + Osaka",https://www.mhlw.go.jp/content/10900000/000928864.pdf
n-280,"Japan: assay, phases 2/3 of Aichi + Fukuoka, phases 3/4 of Tokyo + Miyagi + Osaka",https://www.mhlw.go.jp/content/10900000/000934787.pdf
n-281,"Kennedy et al., seroreversion (found via Arkansas state-wide seroprevalence study)",https://academic.oup.com/ofid/article/9/5/ofac154/6553257
n-282,"USA, Arkansas, published study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0267322
n-283,"USA, Arkansas, sampling dates (email from study authors)",https://drive.google.com/drive/folders/1Pxy8DeocfXFgqhUmWGBHOsFMHDlDF0-s
n-284,"Belgium: Brussels, Flanders, and Wallonia; published study",https://www.mdpi.com/1999-4915/14/5/920/htm
n-285,"Belgium: Brussels, Flanders, and Wallonia; report",https://www.sciensano.be/sites/default/files/salivahis_report_final20211206_1.pdf
n-286,"USA, Kentucky: Jefferson County, phases 1 - 4, pre-print",https://www.medrxiv.org/content/10.1101/2022.04.28.22274086v1
n-287,"USA, Kentucky: Jefferson County, anti-spike assay, Hamorsky et al.",https://www.nature.com/articles/s41598-021-97423-z
n-288,"England + Scotland + Wales + Northern Ireland, ONS (National), monthly population-wide seroprevalence",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsinthecommunityinengland/antibodydatafortheukjanuary2021
n-289,"Saarland, published paper (Lohse et al.)",https://www.nature.com/articles/s43856-022-00100-z
n-290,"Scheiblauer et al., seroreversion",https://www.sciencedirect.com/science/article/pii/S138665322100319X
n-291,"USA, California: Los Angeles county, phase 2, email from study authors",https://drive.google.com/drive/folders/1SDYyW4KEiUlWDdiu08e_BdG2Xs5buPXx
n-292,"USA, Indiana, phase 1, non-nursing home IFR",https://www.acpjournals.org/doi/10.7326/M20-5352
n-293,"Spain, national, phases 1 - 3, published paper, non-nursing home IFR",https://www.bmj.com/content/371/bmj.m4509
n-294,"USA: Connecticut, published paper, non-nursing home IFR and IHR",https://www.amjmed.com/article/S0002-9343(21)00099-1/fulltext
n-295,Germany: Mitte (in Berlin) + Straubing + Kupferzell + Bad Feilnbach; longer report,https://web.archive.org/web/20220214125009/https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Dokumente/Abschlussbericht_2021.pdf?__blob=publicationFile
n-296,"Austria, national; assay information",https://drive.google.com/drive/folders/1-d9r7M_P4cBSfcW6xVv4ONLfrvjf60wZ
n-297,"Italy, Cogne: phases 1 and 2, seroreversion by age (table 3)",https://www.medrxiv.org/content/10.1101/2021.03.19.21253962v1.full
n-298,"Japan: Utsunomiya, published study",https://onlinelibrary.wiley.com/doi/full/10.1002/jgf2.408
n-299,"Switzerland: 11 cantons (Corona Immunitas), ages 18-64",https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-022-02431-z
n-300,Sweden: national,https://www.nature.com/articles/s41598-022-15183-w
n-301,"Dupraz et al. (found via Vaud representative sample for Corona Immunitas), seroreversion",https://academic.oup.com/ofid/article/8/7/ofab149/6189274
n-302,"Munich email from health office, on RKI national database for Germany",https://drive.google.com/drive/folders/16vKDUbt5IQduRd1OVBcyNuvryMKllxIF
n-303,"Japan: Hiroshima, 5 muncipalities, published study (with phase 1 of Aichi + Fukuoka, phase 2 of Tokyo + Miyagi + Osaka)",https://www.jstage.jst.go.jp/article/ehpm/27/0/27_22-00016/_html/-char/en
