phase_id,global region,country / entity,location,reference # in supplement,reference by author name,type of sample drawn from,serology sampling start date,serology sampling end,serology sampling midpoint,months between prior diagnosis (or symptoms) and serology,test name,infection variant known,re-infections known not to occur,severity of infection,median age,sex ratio,notes
--,Europe,Netherlands,{ ? },23,Garritsen,convenience (general population),4/14/2020,--,--,2,GenScript cPass,--,--,--,--,--,
--,Europe,Netherlands,{ ? },23,Garritsen,convenience (general population),--,8/15/2020,--,4,GenScript cPass,--,--,--,--,--,
--,North America,USA,{ ? },24,Muecksch,non-hospitalized patients,--,--,--,3,Abbott Architect,--,--,0% hospitalized,44,"72% female , 28% male",
--,North America,USA,{ ? },24,Muecksch,non-hospitalized patients,--,--,--,3,Diasorin Liaison,--,--,0% hospitalized,44,"72% female , 28% male",
--,North America,USA,{ ? },24,Muecksch,non-hospitalized patients,--,--,--,3,Elecsys anti-N,--,--,0% hospitalized,44,"72% female , 28% male",
--,North America,USA,{ ? },24,Muecksch,non-hospitalized patients,--,--,--,3,Siemens Advia Centaur,--,--,0% hospitalized,44,"72% female , 28% male",
--,Europe,Germany,Dresden,25,Kahre,hospitalized + non-hospitalized patients,*August 2020,*October 2020,*September 2020,5,Abbott Architect,--,--,7% hospitalized,46,"52% female , 48% male",table 1
--,Europe,Germany,Dresden,25,Kahre,hospitalized + non-hospitalized patients,*January 2021,*March 2021,*February 2021,10,Abbott Architect,--,--,7% hospitalized,46,"52% female , 48% male",table 1
--,Europe,Germany,Dresden,25,Kahre,hospitalized + non-hospitalized patients,*August 2020,*October 2020,*September 2020,5,Diasorin Liaison,--,--,7% hospitalized,46,"52% female , 48% male",table 1
--,Europe,Germany,Dresden,25,Kahre,hospitalized + non-hospitalized patients,*January 2021,*March 2021,*February 2021,10,Diasorin Liaison,--,--,7% hospitalized,46,"52% female , 48% male",table 1
--,Europe,Germany,Dresden,25,Kahre,hospitalized + non-hospitalized patients,*August 2020,*October 2020,*September 2020,5,Euroimmun anti-S,--,--,7% hospitalized,46,"52% female , 48% male",table 1
--,Europe,Germany,Dresden,25,Kahre,hospitalized + non-hospitalized patients,*January 2021,*March 2021,*February 2021,10,Euroimmun anti-S,--,--,7% hospitalized,46,"52% female , 48% male",table 1
"1,2",South Asia,India,Tamil Nadu: Chennai,26,Kumar,representative,7/17/2020,10/15/2020,8/31/2020,1 - 2,Abbott Architect,--,--,--,--,--,
"1,2",South Asia,India,Tamil Nadu: Chennai,26,Kumar,representative,7/17/2020,10/15/2020,8/31/2020,2 - 3,Abbott Architect,--,--,--,--,--,
"1,2",South Asia,India,Tamil Nadu: Chennai,26,Kumar,representative,7/17/2020,10/15/2020,8/31/2020,3 - 4,Abbott Architect,--,--,--,--,--,
"1,2",South Asia,India,Tamil Nadu: Chennai,26,Kumar,representative,7/17/2020,10/15/2020,8/31/2020,4 - 5,Abbott Architect,--,--,--,--,--,
1,Europe,Lithuania,6 cities and municipalities,27,Šmigelskas,representative,8/10/2020,9/10/2020,8/25/2020,--,AMP rapid test,--,--,--,--,--,email from study authors
--,North America,USA,{ Arkansas },28,Kennedy,non-hospitalized patients,8/15/2020,9/5/2020,8/25/2020,--,Beckman ACCESS,--,--,0% hospitalized,--,--,
--,North America,USA,{ Arkansas },28,Kennedy,non-hospitalized patients,9/12/2020,10/24/2020,10/3/2020,--,Beckman ACCESS,--,--,0% hospitalized,--,--,
--,North America,USA,{ Arkansas },28,Kennedy,non-hospitalized patients,11/7/2020,12/19/2020,11/28/2020,--,Beckman ACCESS,--,--,0% hospitalized,--,--,
1,North America,USA,National (COVIDVu),29,Sullivan,representative,--,--,10/30/2020,--,BioRad Platelia,--,--,--,--,--,
2,North America,Canada,"National (CCAHS), unvaccinated population",30,Bushnik,representative,11/2/2020,4/30/2021,1/30/2021,--,CCAHS,--,--,--,--,--,
1,Latin America,Argentina,Puerto Madryn,31,Schonfeld,representative,03/03/2021,4/17/2021,03/25/2021,--,COVIDAR,--,--,~4% hospitalized,39,"61% female , 39% male",positive on nasal swab (supplemental S2 data)
--,Latin America,Argentina,{ ? },32,Ojeda,hospitalized + non-hospitalized patients,--,--,--,1,COVIDAR,--,--,--,--,--,
--,Latin America,Argentina,{ ? },33,Longueira,hospitalized + non-hospitalized patients,--,*September 2020,--,1,COVIDAR,--,--,10% severe,37 - 45,"60% female , 40% male",table 1
--,Latin America,Argentina,{ ? },33,Longueira,hospitalized + non-hospitalized patients,--,*September 2020,--,3,COVIDAR,--,--,12% severe,36 - 50,"65% female , 35% male",table 1
1,Europe,Italy,Vo',34,Dorigatti,representative,5/1/2020,5/3/2020,5/2/2020,2,Abbott Architect,--,--,--,--,--,
1,Europe,Italy,Vo',34,Dorigatti,representative,5/1/2020,5/3/2020,5/2/2020,2,Diasorin Liaison,--,--,--,--,--,
1,Europe,Italy,Vo',34,Dorigatti,representative,5/1/2020,5/3/2020,5/2/2020,2,Elecsys anti-N,--,--,--,--,--,
--,East Asia,South Korea,{ ? },35,Choe,non-hospitalized patients,--,--,--,8,EDI Novel Coronavirus,--,--,0% hospitalized,26,"60% female , 40% male",tables 1 and 2
--,East Asia,South Korea,{ ? },35,Choe,non-hospitalized patients,--,--,--,8,Elecsys anti-N,--,--,0% hospitalized,26,"60% female , 40% male",tables 1 and 2
--,East Asia,South Korea,{ ? },35,Choe,non-hospitalized patients,--,--,--,8,Euroimmun anti-S,--,--,0% hospitalized,26,"60% female , 40% male",tables 1 and 2
--,East Asia,South Korea,{ ? },35,Choe,non-hospitalized patients,--,--,--,8,InBios,--,--,0% hospitalized,26,"60% female , 40% male",tables 1 and 2
1,South Asia,India,Puducherry: Puducherry district,36,Kar,representative,8/11/2020,8/16/2020,8/13/2020,--,Elecsys anti-N,--,--,--,--,--,
2,South Asia,India,Puducherry: Puducherry district,36,Kar,representative,9/10/2020,9/16/2020,9/13/2020,--,Elecsys anti-N,--,--,--,--,--,
3,South Asia,India,Puducherry: Puducherry district,36,Kar,representative,10/12/2020,10/16/2020,10/14/2020,--,Elecsys anti-N,--,--,--,--,--,
1,Oceania,Indonesia,Tanjung Priok sub-district,37,Herlinda,convenience (general population),11/23/2020,2/19/2021,1/6/2021,--,Elecsys anti-N,--,--,--,--,--,
1,South Asia,India,Hyderabad,38,Laxmaiah,representative,1/8/2021,1/24/2021,1/16/2021,--,Elecsys anti-N,--,--,--,--,--,
"2,3",East Asia,Japan,"Miyagi + Osaka + Tokyo (phase 3), Aichi + Fukuoka (phase 2)",39,National (NIID),representative,12/3/2021,12/27/2021,12/15/2021,--,Elecsys anti-N,--,--,--,--,--,
"3,4",East Asia,Japan,"Miyagi + Osaka + Tokyo (phase 4), Aichi + Fukuoka (phase 3)",39,National (NIID),representative,2/2/2022,3/6/2022,2/18/2022,--,Elecsys anti-N,--,--,--,--,--,
1,South Asia,India,"Odisha: Bhubaneswar (phase 2), Berhampur, Rourkela",40,Kshatri (SR),representative,8/6/2020,8/31/2020,8/18/2020,1,Elecsys anti-N,--,--,--,--,--,
2,South Asia,India,Odisha: Bhubaneswar,41,Kshatri (EI),representative,--,--,8/26/2020,1,Elecsys anti-N,--,--,--,--,--,
3,South Asia,India,Odisha: Bhubaneswar,41,Kshatri (EI),representative,--,--,9/18/2020,1,Elecsys anti-N,--,--,--,--,--,
1,Europe,Iceland,National,42,Gudbjartsson,convenience (general population),4/3/2020,7/8/2020,5/21/2020,3,Elecsys anti-N,--,--,3% hospitalized,43,"52% female , 48% male","table S1 in appendix 1, appendix 2"
1,Europe,Iceland,{ National },42,Gudbjartsson,convenience (general population),4/3/2020,7/8/2020,5/21/2020,3,Wantai,--,--,3% hospitalized,43,"52% female , 48% male","table S1 in appendix 1, appendix 2"
--,East Asia,Japan,{ ? },43,Goto,convenience (general population),9/2/2020,10/26/2020,9/29/2020,6,Elecsys anti-N,--,--,73% hospitalized,50,"50% female , 50% male",table 1
--,East Asia,Japan,{ ? },43,Goto,convenience (general population),9/2/2020,10/26/2020,9/29/2020,6,Tosoh N indirect,--,--,73% hospitalized,50,"50% female , 50% male",table 1
--,East Asia,Japan,{ ? },43,Goto,convenience (general population),9/2/2020,10/26/2020,9/29/2020,6,Tosoh N sandwich,--,--,73% hospitalized,50,"50% female , 50% male",table 1
--,East Asia,Japan,{ ? },43,Goto,convenience (general population),9/2/2020,10/26/2020,9/29/2020,6,Tosoh S indirect,--,--,73% hospitalized,50,"50% female , 50% male",table 1
--,East Asia,Japan,{ ? },43,Goto,convenience (general population),9/2/2020,10/26/2020,9/29/2020,6,Tosoh S sandwich,--,--,73% hospitalized,50,"50% female , 50% male",table 1
--,Europe,Sweden,{ Stockholm },44,Alkharaan,hospitalized + non-hospitalized patients,--,late 2020,--,9,Elecsys anti-N,--,--,3% hospitalized,57,"19% female , 81% male",table 2
3,South Asia,India,Delhi,45,Sharma (TRTMH),representative,9/1/2020,9/7/2020,9/4/2020,--,ERBALISA,--,--,--,--,--,
4,South Asia,India,Delhi,45,Sharma (TRTMH),representative,10/15/2020,10/21/2020,10/18/2020,--,ERBALISA,--,--,--,--,--,
2,South Asia,India,Delhi,45,Sharma (TRTMH),representative,8/1/2020,8/7/2020,8/4/2020,--,Kavach ELISA IgG (Zydus),--,--,--,--,--,
1,South Asia,India,West Bengal: Paschim Medinipur,46,Satpati,representative,7/27/2020,8/7/2020,8/1/2020,2,ERBALISA,--,--,--,--,--,
1,Europe,France,National,47,Warszawski,representative,--,--,5/21/2020,--,Euroimmun anti-S,--,--,--,--,--,
1,Europe,France,"Grand Est, Île-de-France, Nouvelle-Aquitaine",48,Carrat,representative,5/4/2020,6/23/2020,5/29/2020,--,Euroimmun anti-S,--,--,--,--,--,
1,Europe,Germany,Kupferzell,49,Santos-Hövener,representative,5/20/2020,6/9/2020,5/30/2020,--,Euroimmun anti-S,--,--,34% moderate or severe,52,--,table 3
1,South Asia,India,Pune (five prabhags/subwards),50,Ghose,representative,7/20/2020,8/5/2020,7/28/2020,--,Euroimmun anti-S,--,--,--,--,--,
1,Europe,Germany,Reutlingen district,51,Gornyk,representative,7/1/2020,7/28/2020,7/14/2020,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
1,Europe,Germany,Freiburg + Breisgau-Hochschwarzwald,51,Gornyk,representative,8/5/2020,9/1/2020,8/18/2020,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
1,Europe,Germany,Aachen,51,Gornyk,representative,9/9/2020,10/9/2020,9/24/2020,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
1,Europe,Germany,Osnabrück district + Osnabrück city,51,Gornyk,representative,10/15/2020,11/15/2020,10/30/2020,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
1,Europe,Germany,Magdeburg,51,Gornyk,representative,11/18/2020,12/15/2020,12/1/2020,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
--,Latin America,Brazil,{ Rio de Janeiro city },53,Alvim,hospitalized + non-hospitalized patients,--,--,--,1,Euroimmun anti-S,--,--,--,--,--,
--,Latin America,Brazil,{ Rio de Janeiro city },53,Alvim,hospitalized + non-hospitalized patients,--,--,--,1 - 3,Euroimmun anti-S,--,--,--,--,--,
--,Latin America,Brazil,{ Rio de Janeiro city },53,Alvim,hospitalized + non-hospitalized patients,--,--,--,1,University of Rio de Janeiro,--,--,--,--,--,
--,Latin America,Brazil,{ Rio de Janeiro city },53,Alvim,hospitalized + non-hospitalized patients,--,--,--,1 - 3,University of Rio de Janeiro,--,--,--,--,--,
--,Europe,Germany,{ Cologne },54,Vanshylla,hospitalized + non-hospitalized patients,4/6/2020,--,--,2,Euroimmun anti-S,--,--,2.9% hospitalized,44,"54% female , 46% male",figure 1
--,Europe,Germany,{ Cologne },54,Vanshylla,hospitalized + non-hospitalized patients,--,--,--,4,Euroimmun anti-S,--,--,2.9% hospitalized,44,"54% female , 46% male",figure 1
--,Europe,Germany,{ Cologne },54,Vanshylla,hospitalized + non-hospitalized patients,--,--,--,7,Euroimmun anti-S,--,--,2.9% hospitalized,44,"54% female , 46% male",figure 1
--,Europe,Germany,{ Cologne },54,Vanshylla,hospitalized + non-hospitalized patients,--,12/17/2020,--,9,Euroimmun anti-S,--,--,2.9% hospitalized,44,"54% female , 46% male",figure 1
1,Europe,England,National (REACT-2),59,Ward (Nature),representative,6/20/2020,7/13/2020,7/1/2020,--,Fortress Diagnostics,--,--,--,--,--,
2,Europe,England,National (REACT-2),60,Ward (Lancet R),representative,7/31/2020,8/13/2020,8/6/2020,--,Fortress Diagnostics,--,--,--,--,--,
3,Europe,England,National (REACT-2),60,Ward (Lancet R),representative,9/15/2020,9/28/2020,9/21/2020,--,Fortress Diagnostics,--,--,--,--,--,
4,Europe,England,National (REACT-2),61,Ward (MedRxiv),representative,10/27/2020,11/10/2020,11/3/2020,--,Fortress Diagnostics,--,--,--,--,--,
1,Europe,Spain,Cantabria,62,Iruzubieta,representative,4/27/2020,5/29/2020,5/13/2020,--,Hangzhou Clongene,--,--,--,--,--,
--,Europe,Finland,{ 5 hospital districts },63,Haveri,convenience (general population),--,--,*October 2020,8,"THL Finland, in-house FMIA",--,--,13% hospitalized,49,"57% female , 43% male",tables 1 and 2
--,Europe,Finland,{ 5 hospital districts },63,Haveri,convenience (general population),--,--,*May 2021,13,"THL Finland, in-house FMIA",--,--,13% hospitalized,49,"57% female , 43% male",tables 1 and 2
--,Europe,Finland,{ 5 hospital districts },63,Haveri,convenience (general population),--,--,*October 2020,8,"THL Finland, in-house neutralisation assay",--,--,13% hospitalized,49,"57% female , 43% male",tables 1 and 2
--,Europe,Finland,{ 5 hospital districts },63,Haveri,convenience (general population),--,--,*May 2021,13,"THL Finland, in-house neutralisation assay",--,--,13% hospitalized,49,"57% female , 43% male",tables 1 and 2
--,Europe,Finland,{ Helsinki },64,Study by THL,convenience (general population),--,--,--,4,"THL Finland, in-house neutralisation assay",--,--,--,--,--,
--,Europe,Finland,{ 5 hospital districts },65,THL's study,convenience (general population),*early November 2020,December 2020,--,>6,"THL Finland, in-house neutralisation assay",--,--,--,--,--,
1,Africa,South Africa,Gauteng,66,Mutevedzi,representative,11/4/2020,1/22/2021,12/13/2020,--,"Gauteng, in-house Luminex",--,--,--,--,--,
1,Africa,Tunisia,El Omrane + La Goulette,67,Cherif,representative,*March 2021,*April 2021,,--,"Tunis, in-house",--,--,--,--,--,
1,Europe,Andorra,National,68,Royo-Cebrecos,representative,5/4/2020,5/13/2020,5/8/2020,--,Livzon lateral flow,--,--,--,--,--,
1,Europe,Denmark,National (We test),69,Fogh,representative,10/2/2020,10/11/2020,10/6/2020,1,Livzon lateral flow,--,--,--,49 [34 - 59],"61% female, 39% male",table 2
1,Europe,Denmark,National (We test),69,Fogh,representative,10/2/2020,10/11/2020,10/6/2020,2,Livzon lateral flow,--,--,--,49 [34 - 59],"61% female, 39% male",table 2
1,Europe,Denmark,National (We test),69,Fogh,representative,10/2/2020,10/11/2020,10/6/2020,4,Livzon lateral flow,--,--,--,49 [34 - 59],"61% female, 39% male",table 2
1,Europe,Denmark,National (We test),69,Fogh,representative,10/2/2020,10/11/2020,10/6/2020,6,Livzon lateral flow,--,--,--,49 [34 - 59],"61% female, 39% male",table 2
1,Europe,Denmark,National (We test),69,Fogh,representative,10/2/2020,10/11/2020,10/6/2020,7,Livzon lateral flow,--,--,--,49 [34 - 59],"61% female, 39% male",table 2
2,Europe,USA,"Los Angeles County, unvaccinated population",70,Sood,representative,4/9/2021,4/25/2021,4/17/2021,--,Luminex xMAP (RBD portion),--,--,--,--,--,
1,Europe,USA,Holyoke,71,Matias,representative,11/5/2020,12/31/2020,12/3/2020,--,Massachusetts General Hospital,--,--,--,--,--,
1,Europe,USA,"Hillsborough County, unvaccinated population",72,Giuliano,representative,*October 2020,*March 2021,,--,Mount Sinai (New York),--,--,≤ 6% hospitalized,--,--,
1,North America,USA,"Hillsborough County, unvaccinated population",72,Giuliano,representative,*October 2020,*March 2021,,>6,Mount Sinai (New York),--,--,≤ 27% hospitalized,--,--,
1,Europe,Switzerland,11 cantons,75,Blankenberger,representative,*October 2020,*February 2021,*December 2020,--,SenASTrIS test,--,--,--,--,--,
1,Europe,Switzerland,{ Vaud },76,Dupraz,convenience (general population),5/4/2020,6/27/2020,5/31/2020,2 - 3,SenASTrIS test,--,--,15% hospitalized,49,"56% female , 44% male",table 1
1,Europe,Portugal,National (Castro et al.),77,Castro,convenience (general population),9/8/2020,10/14/2020,9/26/2020,--,Siemens Advia Centaur,--,--,--,--,--,
1,Latin America,Peru,Lima Metropolitana (provinces of Lima + Callao),78,Reyes-Vega,representative,6/28/2020,7/9/2020,7/3/2020,--,Standard Q,--,--,--,--,--,
--,North America,Canada,{ Toronto and Peel },79,Isho,hospitalized + non-hospitalized patients,--,--,--,2 - 3,Sinai Health (Toronto),--,--,~26% hospitalized,58,"48% female , 52% male","table 1, figure 1 legend"
1,Middle East,Lebanon,National,80,Hoballah,representative,12/7/2020,1/15/2021,12/26/2020,--,Techno Genetics,--,--,--,--,--,
1,North America,USA,Connecticut,81,Mahajan,representative,6/10/2020,7/29/2020,7/4/2020,--,Vitros Ortho (not total antibodies),--,--,--,--,--,
5,South Asia,India,"Delhi, unvaccinated population",82,Sharma (Cureus),representative,1/11/2021,1/22/2021,1/16/2021,--,Vitros Ortho (not total antibodies),--,--,--,--,--,
6,South Asia,India,"Delhi, unvaccinated population",83,Sharma (MedRxiv),representative,9/24/2021,10/14/2021,10/4/2021,--,Vitros Ortho (not total antibodies),--,--,--,--,--,
1,South Asia,Maldives,greater Male’ area,84,Abdul-Raheem,representative,10/15/2020,11/16/2020,10/31/2020,4,Vitros Ortho (not total antibodies),--,--,--,--,--,
1,Europe,Italy,Caldari Ortona (Villa Caldari),84,Cito,representative,4/18/2020,4/19/2020,4/18/2020,1,Wantai,--,--,--,--,--,
1 - 4,Europe,Denmark,National (SSI) + 30 municipalities subset,86,Espenhain,representative,5/18/2020,12/16/2020,9/1/2020,2,Wantai,--,--,--,--,--,
2,Europe,Spain,National,73,INFORME FINAL,representative,5/18/2020,6/1/2020,5/25/2020,--,Orient Gene Biotech,--,--,--,--,"58% female , 42% male",tabla 2 on page 10
3,Europe,Spain,National,73,INFORME FINAL,representative,6/8/2020,6/22/2020,6/15/2020,--,Orient Gene Biotech,--,--,--,--,"58% female , 42% male",tabla 2 on page 10
4,Europe,Spain,National,74,CUARTA RONDA,representative,11/16/2020,11/29/2020,11/22/2020,--,Orient Gene Biotech,--,--,--,--,"54% female , 46% male",tabla 2 on page 11
1,Europe,Germany,Bad Feilnbach,57,Seroepidemiologische,representative,6/23/2020,7/4/2020,6/28/2020,--,Euroimmun anti-S,--,--,--,--,--,
1,Europe,Germany,Mitte (in Berlin),57,Seroepidemiologische,representative,11/17/2020,12/5/2020,11/26/2020,--,Euroimmun anti-S,--,--,--,--,--,
2,Europe,Germany,Reutlingen district,51,Gornyk,representative,10/14/2020,11/10/2020,10/27/2020,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
2,Europe,Germany,Freiburg + Breisgau-Hochschwarzwald,51,Gornyk,representative,11/18/2020,12/15/2020,12/1/2020,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
2,Europe,Germany,"Aachen region, unvaccinated population",51,Gornyk,representative,1/25/2021,2/27/2021,2/10/2021,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
2,Europe,Germany,"Osnabrück district + Osnabrück city, unvaccinated population",51,Gornyk,representative,3/1/2021,3/31/2021,3/16/2021,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
2,Europe,Germany,"Magdeburg, unvaccinated population",51,Gornyk,representative,4/7/2021,5/5/2021,4/21/2021,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
"1,2",Europe,Germany,"Chemnitz, unvaccinated population",51,Gornyk,representative,3/3/2021,8/17/2021,5/25/2021,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
1,Europe,Germany,"Vorpommern-Greifswald, unvaccinated population",51,Gornyk,representative,5/12/2021,6/8/2021,5/25/2021,--,Euroimmun anti-S,--,--,--,46 - 65,"57% female, 43% male",supplement tables 1 + 2
1,Europe,Germany,Straubing,"52 , 57","RKI , Seroepidemiologische",representative,9/8/2020,9/26/2020,9/17/2020,--,Euroimmun anti-S,--,--,--,--,--,
5,Europe,Denmark,"National (SSI), unvaccinated population",87,fra 4,representative,2/27/2021,4/20/2021,*3/17/2021,4,Wantai,--,--,--,--,--,
6,Europe,Denmark,"National (SSI), unvaccinated population",88,fra 5,representative,5/14/2021,7/11/2021,*6/10/2021,5,Wantai,--,--,--,--,--,
1,Europe,Germany,National (SOEP),58,Neuhauser,representative,--,--,11/11/2020,2,Euroimmun anti-S,--,--,--,35 - 49,"47% female , 53% male",table 1
