"phase_id","region","country","location","sampleType","startDate","endDate","midpointDate","testTime","testName","citationID","nSeropositives","nSamples","sensitivityMean","sensitivityL","sensitivityH","includedTable","notes","timeKnown","antigenTarget","antibodyTarget","technique","design"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Euroimmun anti-nucleocapsid IgG IgM","n-290",49,95,51.58,41.1,61.96,"","table 1",TRUE,"N","IgG IgM","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Euroimmun anti-nucleocapsid IgG IgM","n-290",31,89,34.83,25.04,45.67,"","table 1",TRUE,"N","IgG IgM","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Euroimmun anti-nucleocapsid IgG IgM","n-290",23,91,25.27,16.75,35.47,"","table 1",TRUE,"N","IgG IgM","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Euroimmun anti-nucleocapsid IgG IgM","n-290",6,35,17.14,6.562,33.65,"","table 1",TRUE,"N","IgG IgM","ELISA","indirect"
"--","Latin America","Brazil","{ Rio de Janeiro city }","hospitalized + non-hospitalized patients","--","--","--",1,"Euroimmun anti-spike","n-170",53,54,98.15,90.11,99.95,"","table 1 (not yet included in seroreversion paper)",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Latin America","Brazil","{ Rio de Janeiro city }","hospitalized + non-hospitalized patients","--","--","--",2,"Euroimmun anti-spike","n-170",104,104,100,96.52,100,"Yes","table 1",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Netherlands","{ ? }","convenience (general population)","4/14/2020","--","--",2,"Euroimmun anti-spike","n-226",83,85,97.65,91.76,99.71,"Yes","",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","4/6/2020","--","--",2,"Euroimmun anti-spike","n-243",113,131,86.26,79.16,91.65,"Yes","figure 5c, seropositives back-calculated from seroprevalence",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Oceania","Australia","{ Sydney }","hospitalized + non-hospitalized patients","*March 2020","*August 2020","--",2,"Euroimmun anti-spike","n-215",121,166,72.89,65.46,79.49,"Yes","table 2",TRUE,"S","IgG IgA","ELISA","indirect"
"1","Europe","Germany","National (SOEP)","representative","--","--","11/11/2020",2,"Euroimmun anti-spike","n-68 , n-70",82,133,61.65,52.83,69.95,"Yes","pages 8 and 9",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","--","--","--",4,"Euroimmun anti-spike","n-243",113,131,86.26,79.16,91.65,"Yes","figure 5c, seropositives back-calculated from seroprevalence",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Netherlands","{ ? }","convenience (general population)","--","8/15/2020","--",4,"Euroimmun anti-spike","n-226",73,85,85.88,76.64,92.49,"Yes","",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","Dresden","hospitalized + non-hospitalized patients","*August 2020","*October 2020","*September 2020",5,"Euroimmun anti-spike","n-133",90,109,82.57,74.13,89.17,"Yes","table 2",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","*August 2020","*September 2020","--",5,"Euroimmun anti-spike","n-222",280,363,77.13,72.46,81.36,"Yes","supplementary table S2",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","{ Saarland }","non-hospitalized patients","--","*October 2020","*October 2020",6,"Euroimmun anti-spike","n-289",23,30,76.67,57.72,90.07,"Yes","figure 2g",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","--","--","--",7,"Euroimmun anti-spike","n-243",103,131,78.63,70.61,85.3,"Yes","figure 5c, seropositives back-calculated from seroprevalence",TRUE,"S","IgG IgA","ELISA","indirect"
"--","East Asia","South Korea","{ ? }","non-hospitalized patients","--","--","--",8,"Euroimmun anti-spike","n-165",40,58,68.97,55.46,80.46,"Yes","",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","--","12/17/2020","--",9,"Euroimmun anti-spike","n-243",96,131,73.28,64.85,80.63,"Yes","figure 5c, seropositives back-calculated from seroprevalence",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","Dresden","hospitalized + non-hospitalized patients","*January 2021","*March 2021","*February 2021",10,"Euroimmun anti-spike","n-133",85,109,77.98,69.03,85.35,"Yes","table 2",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Euroimmun anti-spike","n-290",33,39,84.62,69.47,94.14,"","table 1",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Euroimmun anti-spike","n-290",176,194,90.72,85.73,94.41,"","table 1",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Euroimmun anti-spike","n-290",108,123,87.8,80.68,93.01,"","table 1",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Euroimmun anti-spike","n-290",131,162,80.86,73.95,86.61,"","table 1",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Euroimmun anti-spike","n-290",75,95,78.95,69.38,86.64,"","table 1",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Euroimmun anti-spike","n-290",71,89,79.78,69.93,87.55,"","table 1",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Euroimmun anti-spike","n-290",66,91,72.53,62.17,81.37,"","table 1",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Euroimmun anti-spike","n-290",27,35,77.14,59.86,89.58,"","table 1",TRUE,"S","IgG IgA","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"GenScript cPass neutralization kit","n-290",35,39,89.74,75.78,97.13,"","table 1",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Europe","Netherlands","{ ? }","convenience (general population)","4/14/2020","--","--",2,"GenScript cPass neutralization kit","n-226",85,85,100,95.75,100,"Yes","",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"GenScript cPass neutralization kit","n-290",180,194,92.78,88.19,96,"","table 1",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Europe","Netherlands","{ ? }","convenience (general population)","--","8/15/2020","--",4,"GenScript cPass neutralization kit","n-226",83,85,97.65,91.76,99.71,"Yes","",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"GenScript cPass neutralization kit","n-290",114,123,92.68,86.56,96.6,"","table 1",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"GenScript cPass neutralization kit","n-290",139,162,85.8,79.46,90.78,"","table 1",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"GenScript cPass neutralization kit","n-290",90,95,94.74,88.14,98.27,"","table 1",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"GenScript cPass neutralization kit","n-290",86,89,96.63,90.46,99.3,"","table 1",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Oceania","New Zealand","{ Southern District Health Board region }","hospitalized + non-hospitalized patients","3/11/2020","4/5/2020","--",10,"GenScript cPass neutralization kit","n-198",35,37,94.59,81.81,99.34,"Yes","",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"GenScript cPass neutralization kit","n-290",82,91,90.11,82.05,95.38,"","table 1",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"GenScript cPass neutralization kit","n-290",33,35,94.29,80.84,99.3,"","table 1",TRUE,"RBD",NA,"NT (protein-protein ELISA)","competitive"
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","*August 2020","*September 2020","--",5,"IDK (Immundiagnostik) anti-spike IgG","n-222",323,363,88.98,85.3,92.01,"Yes","supplementary table S2",TRUE,"S","IgG","ELISA","indirect"
"--","South Asia","India","{ Delhi }","hospitalized + non-hospitalized patients","--","--","12/18/2020",2,"in-house RBD ELISA (Mehdi et al.)","n-162",568,672,84.52,81.56,87.18,"N (excluded, non-commercial assay not used in a seroprevalence study)","",TRUE,"RBD","IgG","ELISA","indirect"
"--","Europe","Finland","{ 5 hospital districts }","convenience (general population)","--","--","*October 2020",8,"in-house THL Finland FMIA anti-spike assay","n-184",360,367,98.09,96.11,99.23,"Yes","5 districts listed in n-181 and are:  Uusimaa [contains Helsinki], Pirkanmaa, Pohjois-Pohjanmaa [a.k.a. North Ostrobothnia], Pohjois-Savo, Varsinais-Suomi",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Finland","{ 5 hospital districts }","convenience (general population)","--","--","*May 2021",13,"in-house THL Finland FMIA anti-spike assay","n-184",356,367,97,94.7,98.49,"Yes","5 districts listed in n-181 and are:  Uusimaa [contains Helsinki], Pirkanmaa, Pohjois-Pohjanmaa [a.k.a. North Ostrobothnia], Pohjois-Savo, Varsinais-Suomi",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Finland","{ Helsinki }","convenience (general population)","--","--","--",4,"in-house THL Finland neutralization assay","n-183",63,64,98.44,91.6,99.96,"Yes","",TRUE,NA,NA,"NT (cell)",NA
"--","Europe","Finland","{ 5 hospital districts }","convenience (general population)","*early November 2020","December 2020","--",7,"in-house THL Finland neutralization assay","n-182",792,867,91.35,89.28,93.14,"N","5 districts listed in n-181 and are:  Uusimaa [contains Helsinki], Pirkanmaa, Pohjois-Pohjanmaa [a.k.a. North Ostrobothnia], Pohjois-Savo, Varsinais-Suomi",TRUE,NA,NA,"NT (cell)",NA
"--","Europe","Finland","{ 5 hospital districts }","convenience (general population)","--","--","*October 2020",8,"in-house THL Finland neutralization assay","n-184",335,367,91.28,87.91,93.96,"Yes","5 districts listed in n-181 and are:  Uusimaa [contains Helsinki], Pirkanmaa, Pohjois-Pohjanmaa [a.k.a. North Ostrobothnia], Pohjois-Savo, Varsinais-Suomi",TRUE,NA,NA,"NT (cell)",NA
"--","Europe","Finland","{ 5 hospital districts }","convenience (general population)","--","--","*May 2021",13,"in-house THL Finland neutralization assay","n-184",320,367,87.19,83.34,90.44,"Yes","5 districts listed in n-181 and are:  Uusimaa [contains Helsinki], Pirkanmaa, Pohjois-Pohjanmaa [a.k.a. North Ostrobothnia], Pohjois-Savo, Varsinais-Suomi",TRUE,NA,NA,"NT (cell)",NA
"--","East Asia","South Korea","{ ? }","non-hospitalized patients","--","--","--",8,"InBios SCoV-2 Detect IgG anti-spike ELISA","n-165",50,58,86.21,74.62,93.85,"Yes","",TRUE,"S","IgG","ELISA","indirect"
"1","Europe","Denmark","National (We test)","representative","10/2/2020","10/11/2020","10/6/2020",1,"Livzon COVID-19 IgG IgM lateral flow","n-105",77,216,35.65,29.27,42.43,"Yes","supplementary figure 7",TRUE,NA,"IgG IgM","LFIA","indirect"
"1","Europe","Denmark","National (We test)","representative","10/2/2020","10/11/2020","10/6/2020",2,"Livzon COVID-19 IgG IgM lateral flow","n-105",51,188,27.13,20.91,34.08,"Yes","supplementary figure 7",TRUE,NA,"IgG IgM","LFIA","indirect"
"1","Europe","Denmark","National (We test)","representative","10/2/2020","10/11/2020","10/6/2020",4,"Livzon COVID-19 IgG IgM lateral flow","n-105",9,41,21.95,10.56,37.61,"Yes","supplementary figure 7",TRUE,NA,"IgG IgM","LFIA","indirect"
"1","Europe","Denmark","National (We test)","representative","10/2/2020","10/11/2020","10/6/2020",6,"Livzon COVID-19 IgG IgM lateral flow","n-105",51,261,19.54,14.91,24.88,"Yes","supplementary figure 7",TRUE,NA,"IgG IgM","LFIA","indirect"
"1","Europe","Denmark","National (We test)","representative","10/2/2020","10/11/2020","10/6/2020",7,"Livzon COVID-19 IgG IgM lateral flow","n-105",8,41,19.51,8.821,34.87,"Yes","supplementary figure 7",TRUE,NA,"IgG IgM","LFIA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",1,"LumiraDx SARS-CoV-2 anti-spike antibody test","n-213",52,56,92.86,82.71,98.02,"Yes","table 2",TRUE,"RBD, S","IgG IgM IgA","CMIA",NA
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",2,"LumiraDx SARS-CoV-2 anti-spike antibody test","n-213",150,153,98.04,94.38,99.59,"Yes","table 3",TRUE,"RBD, S","IgG IgM IgA","CMIA",NA
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",4,"LumiraDx SARS-CoV-2 anti-spike antibody test","n-213",42,43,97.67,87.71,99.94,"Yes","table 3",TRUE,"RBD, S","IgG IgM IgA","CMIA",NA
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",6,"LumiraDx SARS-CoV-2 anti-spike antibody test","n-213",56,57,98.25,90.61,99.96,"Yes","table 3",TRUE,"RBD, S","IgG IgM IgA","CMIA",NA
"1","North America","USA","Hillsborough County, unvaccinated population","representative","*October 2020","*March 2021","",7,"New York, Mount Sinai RBD ELISA","n-178",25,26,96.15,80.36,99.9,"N","",TRUE,"RBD, S","IgG","ELISA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",1,"Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM","n-213",30,32,93.75,79.19,99.23,"Yes","table 2",TRUE,"N, S","IgG IgM","LFIA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",2,"Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM","n-213",151,154,98.05,94.41,99.6,"Yes","table 3",TRUE,"N, S","IgG IgM","LFIA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",4,"Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM","n-213",41,44,93.18,81.34,98.57,"Yes","table 3",TRUE,"N, S","IgG IgM","LFIA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",6,"Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM","n-213",65,79,82.28,72.06,89.96,"Yes","table 3",TRUE,"N, S","IgG IgM","LFIA","indirect"
"1","Europe","Switzerland","{ Vaud }","convenience (general population)","5/4/2020","6/27/2020","5/31/2020",2.5,"SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological)","n-301",215,219,98.17,95.39,99.5,"","table 1 (not yet included in seroreversion paper)",TRUE,"S","IgG IgA","ELISA","indirect"
"3","South Asia","India","National","representative","--","--","12/27/2020",1,"Siemens Advia SARS-CoV-2 IgG anti-RBD","n-96",25,38,65.79,48.65,80.37,"Yes","supplementary table (page 8)",TRUE,"RBD","IgG","CMIA","indirect"
"3","South Asia","India","National","representative","--","--","12/27/2020",3,"Siemens Advia SARS-CoV-2 IgG anti-RBD","n-96",60,96,62.5,52.03,72.18,"Yes","supplementary table (page 8)",TRUE,"RBD","IgG","CMIA","indirect"
"3","South Asia","India","National","representative","--","--","12/27/2020",5,"Siemens Advia SARS-CoV-2 IgG anti-RBD","n-96",44,74,59.46,47.41,70.73,"Yes","supplementary table (page 8)",TRUE,"RBD","IgG","CMIA","indirect"
"3","South Asia","India","National","representative","--","--","12/27/2020",7,"Siemens Advia SARS-CoV-2 IgG anti-RBD","n-96",12,23,52.17,30.59,73.18,"N","supplementary table (page 8)",TRUE,"RBD","IgG","CMIA","indirect"
"--","North America","USA","{ ? }","non-hospitalized patients","--","--","--",3,"Siemens SARS-CoV-2 Total Advia Centaur","n-134",40,41,97.56,87.14,99.94,"Yes","",TRUE,"RBD","IgG IgM","CMIA","sandwich"
"--","North America","Canada","{ Toronto and Peel }","hospitalized + non-hospitalized patients","--","--","--",2.5,"Sinai Health (Toronto) anti-spike ELISA","n-169",22,22,100,84.56,100,"Yes","figure 3",TRUE,"S","IgG","CMIA","indirect"
"--","East Asia","Japan","{ ? }","convenience (general population)","9/2/2020","10/26/2020","9/29/2020",6,"Tosoh anti-nucleocapsid IgG with AIA-CL1200","n-167",314,376,83.51,79.37,87.12,"Yes","",TRUE,"N","IgG","CMIA","indirect"
"--","East Asia","Japan","{ ? }","convenience (general population)","9/2/2020","10/26/2020","9/29/2020",6,"Tosoh anti-nucleocapsid total Ig with AIA-CL1200","n-167",365,376,97.07,94.83,98.53,"Yes","",TRUE,"N","IgG IgM IgA etc.","CMIA","sandwich"
"--","East Asia","Japan","{ ? }","convenience (general population)","9/2/2020","10/26/2020","9/29/2020",6,"Tosoh anti-spike IgG with AIA-CL1200","n-167",344,376,91.49,88.2,94.11,"Yes","",TRUE,"RBD","IgG","CMIA","indirect"
"--","East Asia","Japan","{ ? }","convenience (general population)","9/2/2020","10/26/2020","9/29/2020",6,"Tosoh anti-spike total Ig with AIA-CL1200","n-167",369,376,98.14,96.2,99.25,"Yes","",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Latin America","Brazil","{ Pelotas }","hospitalized + non-hospitalized patients","--","--","*November 2020",1,"University of Rio de Janeiro (UFRJ) anti-spike ELISA","n-171",23,26,88.46,69.85,97.55,"Yes","",TRUE,"S","IgG","ELISA","indirect"
"--","Latin America","Brazil","{ Rio de Janeiro city }","hospitalized + non-hospitalized patients","--","--","--",1,"University of Rio de Janeiro (UFRJ) anti-spike ELISA","n-170",54,54,100,93.4,100,"Yes","table 1 (not yet included in seroreversion paper)",TRUE,"S","IgG","ELISA","indirect"
"--","Latin America","Brazil","{ Rio de Janeiro city }","hospitalized + non-hospitalized patients","--","--","--",2,"University of Rio de Janeiro (UFRJ) anti-spike ELISA","n-170",107,107,100,96.61,100,"Yes","table 1",TRUE,"S","IgG","ELISA","indirect"
"--","Latin America","Brazil","{ Pelotas }","hospitalized + non-hospitalized patients","--","--","*November 2020",2,"University of Rio de Janeiro (UFRJ) anti-spike ELISA","n-171",24,26,92.31,74.87,99.05,"Yes","",TRUE,"S","IgG","ELISA","indirect"
"--","Latin America","Brazil","{ Pelotas }","hospitalized + non-hospitalized patients","--","--","*November 2020",3,"University of Rio de Janeiro (UFRJ) anti-spike ELISA","n-171",23,25,92,73.97,99.02,"Yes","",TRUE,"S","IgG","ELISA","indirect"
"--","Latin America","Brazil","{ Pelotas }","hospitalized + non-hospitalized patients","--","--","*November 2020",4,"University of Rio de Janeiro (UFRJ) anti-spike ELISA","n-171",26,26,100,86.77,100,"Yes","",TRUE,"S","IgG","ELISA","indirect"
"--","Latin America","Brazil","{ Pelotas }","hospitalized + non-hospitalized patients","--","--","*November 2020",5,"University of Rio de Janeiro (UFRJ) anti-spike ELISA","n-171",27,31,87.1,70.17,96.37,"Yes","",TRUE,"S","IgG","ELISA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","*April 2020","*July 2020","--",1,"Vitros Ortho (not total) IgG anti-spike","n-132",157,172,91,86.3,95,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",3,"Vitros Ortho (not total) IgG anti-spike","n-132",139,165,84.3,78.5,89.8,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"1","South Asia","Maldives","greater Male’ area","representative","10/15/2020","11/16/2020","10/31/2020",4,"Vitros Ortho (not total) IgG anti-spike","n-151",77,133,57.89,49.03,66.4,"Yes","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",5,"Vitros Ortho (not total) IgG anti-spike","n-132",111,147,75.1,67.8,82,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",7,"Vitros Ortho (not total) IgG anti-spike","n-132",72,113,63.5,54.4,72.4,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","*April 2020","*July 2020","--",1,"Vitros Ortho total Ig anti-spike","n-132",86,126,68.5,60,76.5,"Not yet","supplementary table 8",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",3,"Vitros Ortho total Ig anti-spike","n-132",132,157,83.9,77.5,89.2,"Not yet","supplementary table 8",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",5,"Vitros Ortho total Ig anti-spike","n-132",139,149,93.4,88.6,96.7,"Not yet","supplementary table 8",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",7,"Vitros Ortho total Ig anti-spike","n-132",158,162,97.8,94.7,99.3,"Not yet","supplementary table 8",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Vitros Ortho total Ig anti-spike","n-290",33,39,84.62,69.47,94.14,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Vitros Ortho total Ig anti-spike","n-290",180,194,92.78,88.19,96,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Vitros Ortho total Ig anti-spike","n-290",118,123,95.93,90.77,98.67,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Vitros Ortho total Ig anti-spike","n-290",158,162,97.53,93.8,99.32,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Vitros Ortho total Ig anti-spike","n-290",90,95,94.74,88.14,98.27,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Vitros Ortho total Ig anti-spike","n-290",86,89,96.63,90.46,99.3,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Vitros Ortho total Ig anti-spike","n-290",88,91,96.7,90.67,99.31,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Vitros Ortho total Ig anti-spike","n-290",35,35,100,90,100,"","table 1",TRUE,"RBD","IgG IgM IgA etc.","CMIA","sandwich"
"1","Europe","Italy","Caldari Ortona (Villa Caldari)","representative","4/18/2020","4/19/2020","4/18/2020",1,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-107",7,7,100,59.04,100,"Yes","",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"1 - 4","Europe","Denmark","National (SSI) + 30 municipalities subset","representative","5/18/2020","12/16/2020","9/1/2020",2,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-22",217,232,93.53,89.56,96.34,"Yes","page 719",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"1","Europe","Iceland","{ National }","convenience (general population)","4/3/2020","7/8/2020","5/21/2020",3,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-157",1143,1215,94.07,92.6,95.33,"Yes","tables S1 and S4, page 8 of appendix 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"5","Europe","Denmark","National (SSI), unvaccinated population","representative","2/27/2021","4/20/2021","*3/17/2021",4,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-194",484,514,94.16,91.77,96.03,"Yes","page 4",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"6","Europe","Denmark","National (SSI), unvaccinated population","representative","5/14/2021","7/11/2021","*6/10/2021",5,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-195",282,310,90.97,87.21,93.91,"Yes","page 4",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",36,39,92.31,79.13,98.38,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",190,194,97.94,94.81,99.44,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",123,123,100,97.05,100,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",160,162,98.77,95.61,99.85,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",95,95,100,96.19,100,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",88,89,98.88,93.9,99.97,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",91,91,100,96.03,100,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD","n-290",35,35,100,90,100,"","table 1",TRUE,"RBD","IgG IgM","ELISA","sandwich"
"1","Europe","Austria","Ischgl","representative","4/21/2020","4/27/2020","2020-04-24",1,"Abbott Architect IgG","n-109",99,105,94.29,87.98,97.87,NA,"table 2",FALSE,"N","IgG","CMIA","indirect"
